City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuktoyaktuk,CA,-31.0,clear sky,69.4541,-133.0374,End of The Road Ltd.
1,Brandfort,ZA,72.81,broken clouds,-28.7001,26.4597,SUMFRA GUESTHOUSE
2,Hobart,AU,60.03,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
3,Domoni,KM,79.81,light rain,-12.2569,44.5319,Al Djadid
4,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
5,Bluff,NZ,50.11,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Muros,ES,61.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
7,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,Namatanai,PG,79.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
9,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
10,Sistranda,NO,33.76,broken clouds,63.7256,8.834,Hotell Frøya
11,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
12,Ushuaia,AR,60.46,scattered clouds,-54.8,-68.3,Albatross Hotel
13,Westport,US,29.32,scattered clouds,41.1415,-73.3579,The Westport Inn
14,Tawang,IN,15.24,scattered clouds,27.5833,91.8667,Hotel Mount View
15,Bethel,US,27.01,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
16,Yellowknife,CA,-13.59,broken clouds,62.456,-114.3525,The Explorer Hotel
17,Punta Arenas,CL,66.31,broken clouds,-53.15,-70.9167,Hotel Hain
18,Christchurch,NZ,53.91,drizzle,-43.5333,172.6333,The George
20,Aswan,EG,58.66,clear sky,24.0934,32.907,Nuba Nile
21,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
22,Qaanaaq,GL,0.0,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
23,Sept-Iles,CA,8.06,overcast clouds,50.2001,-66.3821,Comfort Inn
24,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
25,Port Elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
26,Cidreira,BR,86.92,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
27,Noumea,NC,76.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
28,Young,UY,78.22,clear sky,-32.6833,-57.6333,Posada Gira el Sol
29,Ugoofaaru,MV,81.37,few clouds,5.6667,73.0,Ungoofaaru Inn
30,Haines Junction,CA,1.35,overcast clouds,60.7522,-137.5108,Parkside Inn
32,Butaritari,KI,82.38,few clouds,3.0707,172.7902,Isles Sunset Lodge
33,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Kodiak,US,35.65,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
35,Kavieng,PG,80.71,light rain,-2.5744,150.7967,Nusa Island Retreat
36,Hermanus,ZA,87.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Tura,IN,51.33,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
38,Ilheus,BR,80.42,broken clouds,-14.7889,-39.0494,Barravento Hotel
39,Mazarron,ES,60.12,light rain,37.5992,-1.3149,Apartamentos Oasis de las Palmeras
40,Kautokeino,NO,23.4,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
41,Vestmanna,FO,34.72,snow,62.1564,-7.1664,Vestmanna Camping
44,Vao,NC,79.68,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
46,Parana,AR,80.56,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
47,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
48,Pustoshka,RU,26.19,snow,56.3355,29.369,Yubileinaya Hotel
49,Imbituba,BR,91.29,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
50,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
51,Swan River,CA,-5.91,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
52,Coihaique,CL,69.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
53,Velyka Mykhaylivka,UA,34.77,scattered clouds,47.0794,29.8514,"Готель ""Уют"""
54,Tasiilaq,GL,16.11,overcast clouds,65.6145,-37.6368,The Red House
55,Carnarvon,AU,82.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Hofn,IS,28.98,overcast clouds,64.2539,-15.2082,Hótel Höfn
57,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
58,Katsuura,JP,33.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
59,Cuiluan,CN,-8.46,overcast clouds,47.72,128.648,Shuncheng Hotel
61,Clyde River,CA,-21.77,broken clouds,70.4692,-68.5914,Qamaq Hotel
63,Kawambwa,ZM,63.03,light rain,-9.7915,29.0791,Chembe Nsofu
64,Lorengau,PG,80.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Navirai,BR,81.55,moderate rain,-23.065,-54.1906,Dubai Hotel - Também sua casa!
66,Stromness,GB,37.36,light rain,58.965,-3.296,The Old Smokery
67,Hilo,US,69.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Kundiawa,PG,62.38,overcast clouds,-6.0167,144.9667,Pari
69,Palana,RU,4.44,broken clouds,59.1167,159.9667,Chikago
70,Nuoro,IT,51.06,overcast clouds,40.3211,9.3297,Hotel Sandalia
71,Ranikhet,IN,33.55,clear sky,29.65,79.4167,Bay Berry by One Earth
72,Cariamanga,EC,66.97,moderate rain,-4.3333,-79.55,Bermeo Plaza Hotel
73,Sabha,LY,59.72,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
76,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,Villa Mar Colina
77,Jamestown,US,19.09,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Erenhot,CN,3.65,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
79,Chernyshevskiy,RU,-9.08,overcast clouds,63.0128,112.4714,Chernyseyskiy
80,Vardo,NO,26.55,overcast clouds,70.3705,31.1107,Vardø Hotel AS
81,Pangnirtung,CA,-22.0,broken clouds,66.1451,-65.7125,Kilabuk Lodge
82,Roald,NO,41.14,scattered clouds,62.5833,6.1333,Flem Cabins
83,Zhangjiakou,CN,13.06,light snow,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
84,Longyearbyen,SJ,10.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
85,Port Hawkesbury,CA,31.59,fog,45.6169,-61.3485,MacKenzie House Tourist Home B&B
86,Itarema,BR,85.46,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
87,Saint George,US,48.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
88,Barrow,US,-11.18,light snow,71.2906,-156.7887,King Eider Inn
89,East London,ZA,67.14,light intensity drizzle,-33.0153,27.9116,Tu Casa
90,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
91,Bredasdorp,ZA,74.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
92,Korocha,RU,20.12,broken clouds,50.8107,37.1953,Dubravushka
93,Mataura,NZ,40.12,few clouds,-46.1927,168.8643,Ellie's Villa
94,Paamiut,GL,1.47,overcast clouds,61.994,-49.6678,Pistut
95,Ixtapa,MX,81.75,broken clouds,20.7,-105.2,Hotel Plaza Providencia
96,Yarmouth,US,27.1,overcast clouds,41.7057,-70.2286,Blue Rock Resort
98,Eureka,US,43.93,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
99,Homer,US,37.78,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
100,Pevek,RU,-28.16,few clouds,69.7008,170.3133,Severnoye Zoloto
101,Upernavik,GL,0.43,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
102,Kapaa,US,64.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
103,Prince Rupert,CA,42.49,overcast clouds,54.3161,-130.3201,Crest Hotel
104,Ferme-Neuve,CA,-0.62,few clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
105,Viedma,AR,62.51,overcast clouds,-40.8135,-62.9967,Hotel Cristal
106,Wahiawa,US,63.79,clear sky,21.5028,-158.0236,Aloha Wahiawa
107,Leningradskiy,RU,-21.06,clear sky,69.3833,178.4167,Gostinitsa
110,Ca Mau,VN,78.51,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
111,Verkh-Usugli,RU,-10.79,few clouds,52.7,115.1667,"Gostinitsa ""Sever"""
112,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
113,Thompson,CA,-36.24,few clouds,55.7435,-97.8558,Burntwood Hotel
114,Nome,US,-9.49,clear sky,64.5011,-165.4064,Dredge 7 Inn
115,Cape Town,ZA,83.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
117,Huesca,ES,52.48,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
118,Bangkal,PH,77.63,overcast clouds,6.0667,121.0667,JB's Resort
119,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
120,Horta,PT,62.24,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
121,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
122,Hobyo,SO,76.89,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
123,Mehamn,NO,21.42,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
124,Chuy,UY,83.12,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
125,Nikolskoye,RU,25.88,snow,59.7035,30.7861,Tourist House - Sablino
126,Lebu,CL,64.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
127,Castro,BR,74.03,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
128,Inuvik,CA,-31.79,few clouds,68.3499,-133.7218,Nova Inn Inuvik
129,Port Alfred,ZA,70.27,overcast clouds,-33.5906,26.891,The Halyards Hotel
132,Lagoa,PT,58.6,broken clouds,39.05,-27.9833,Casa Das Faias
133,Bolshaya Rechka,RU,10.67,overcast clouds,51.9503,104.7355,Hotel Beliy ruchey
134,Osoyoos,CA,31.33,broken clouds,49.0331,-119.4524,Watermark Beach Resort
135,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
136,Sompeta,IN,69.69,overcast clouds,18.9333,84.6,Netaji's Home
137,Petropavlovsk-Kamchatskiy,RU,16.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
138,Kimbe,PG,77.59,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
139,Sola,VU,82.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
141,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
143,Dingle,PH,74.86,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Lazaro Cardenas,MX,81.45,clear sky,17.9583,-102.2,quinta antigua
145,Korla,CN,25.99,overcast clouds,41.7597,86.1469,Gulisitan Hotel
146,Minab,IR,71.1,clear sky,27.1467,57.0801,Bam campground
147,Bandarbeyla,SO,75.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
148,Olafsvik,IS,29.53,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
149,Naze,JP,50.56,broken clouds,28.3667,129.4833,Shishime Hotel
150,Maniitsoq,GL,5.83,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
151,Koungou,YT,83.91,few clouds,-12.7336,45.2042,Villa Netibor
152,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hostel Del Puerto
153,Bull Savanna,JM,81.95,clear sky,17.8868,-77.5902,Big Red's
154,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
155,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
156,Qasigiannguit,GL,-2.47,overcast clouds,68.8193,-51.1922,Hotel Diskobay
157,Kilindoni,TZ,79.16,overcast clouds,-7.9139,39.6668,Bustani B&B
158,Vigeland,NO,43.95,light rain,58.0844,7.305,Audnastrand Leirsted (Imf- sør/Indremisjonsforbundet sør kretskontor)
160,Kovvur,IN,80.85,broken clouds,17.0167,81.7333,Hotel Rathna Palace
163,Ngunguru,NZ,72.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
164,Bredy,RU,16.99,overcast clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
165,Tagusao,PH,77.72,broken clouds,9.1924,117.8141,Green Villa beach resort
166,Kanye,BW,70.34,broken clouds,-24.9667,25.3327,The Savanna Lodge
167,Gubbio,IT,51.24,overcast clouds,43.3545,12.5725,Park Hotel ai Cappuccini
168,Vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
169,Saraland,US,45.64,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
171,Cabo San Lucas,MX,69.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Mount Pleasant,US,52.07,clear sky,32.7941,-79.8626,Best Western Patriots Point
173,Biltine,TD,75.02,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
174,Luza,RU,3.4,scattered clouds,60.6308,47.2512,"Gostinitsa ""Prival"""
176,Narsaq,GL,-1.5,clear sky,60.9167,-46.05,Sleep In Narsaq
177,Solnechnyy,RU,1.83,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
178,Udachnyy,RU,-32.08,broken clouds,66.4167,112.4,Severnoye Siyaniye
179,Spring Valley,US,49.3,few clouds,36.108,-115.245,Westgate Flamingo Bay Resort
180,Severo-Kurilsk,RU,28.13,light snow,50.6789,156.125,Kak Doma
181,Nuuk,GL,5.88,overcast clouds,64.1835,-51.7216,Vandrehuset
182,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
183,Pilar,BR,85.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
184,Bapatla,IN,73.71,broken clouds,15.9,80.4667,Kumar Hotel
186,Hornepayne,CA,2.39,broken clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
187,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
188,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Dongtai,CN,30.07,broken clouds,32.8523,120.3095,Super 8 Dongtai South Hailing Road
190,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
191,Glasgow,GB,44.51,moderate rain,55.8652,-4.2576,Glasgow Marriott Hotel
192,Havre-Saint-Pierre,CA,7.39,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
196,Shahr-E Kord,IR,31.77,clear sky,32.3256,50.8644,Shahrekord Tourist Hotel
197,Bergen,NO,43.65,light intensity shower rain,60.392,5.328,Clarion Collection Hotel Havnekontoret
198,Havoysund,NO,29.28,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
199,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
200,Norman Wells,CA,-11.65,overcast clouds,65.282,-126.8329,Heritage Hotel
201,Colac,AU,61.16,overcast clouds,-38.3333,143.5833,Otway Gate Motel
202,Mayo,US,33.42,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
203,Torbay,CA,49.75,light rain,47.6666,-52.7314,Gallows Cove
204,Hov,NO,31.89,broken clouds,60.6987,10.3519,Lyngstrand Camping Selj
205,San Patricio,US,44.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
206,Cap-Aux-Meules,CA,24.85,overcast clouds,47.3821,-61.8597,Auberge Madeli
207,Central Point,US,29.61,few clouds,42.376,-122.9164,Courtyard by Marriott Medford Airport
208,Oktyabrskoye,RU,28.54,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
209,Blythe,US,49.03,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
210,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
211,Tulun,RU,23.0,overcast clouds,54.5611,100.5792,Квартира
212,Namibe,AO,76.08,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
214,Sisimiut,GL,2.26,light snow,66.9395,-53.6735,Hotel Sisimiut
215,Kolda,SN,102.88,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
216,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
217,Tazovskiy,RU,-7.83,overcast clouds,67.4667,78.7,TazHostel
218,Tabuk,PH,68.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
219,Aberystwyth,GB,49.3,light rain,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
220,Surazh,RU,24.82,light snow,53.0175,32.3918,Mini Hotel Surazhichi
221,Saldanha,ZA,89.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
222,Buin,CL,85.05,clear sky,-33.7333,-70.75,Paihuen
223,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Poutur Pousada
224,Harper,LR,82.99,broken clouds,4.375,-7.7169,Screensaver
225,Ariquemes,BR,80.47,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
226,Grimshaw,CA,2.82,light snow,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
227,Maarianhamina,AX,33.66,clear sky,60.0973,19.9348,Park Alandia Hotel
228,Kaitangata,NZ,44.42,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
229,Guerrero Negro,MX,61.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
231,Cherskiy,RU,-32.82,few clouds,68.75,161.3,Gostinitsa
232,Pangody,RU,-16.06,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
233,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
234,Corinto,GR,55.69,clear sky,37.9407,22.9573,Ephira Hotel
235,Sarai,RU,3.27,broken clouds,53.7458,41.0213,Gostinitsa Verda.
