City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-06-07 22:44:05,-23.1203,-134.9692,72.64,55,2,12.3
1,Ishurdi,BD,2022-06-07 22:44:05,24.1333,89.0833,81.28,86,100,8.9
2,Olafsvik,IS,2022-06-07 22:44:06,64.8945,-23.7142,50.32,83,100,3.62
3,Cape Town,ZA,2022-06-07 22:44:06,-33.9258,18.4232,68.38,56,0,3.44
4,Chino Valley,US,2022-06-07 22:44:06,34.7575,-112.4538,97.41,15,0,10.36
5,Nikel,RU,2022-06-07 22:44:07,69.4128,30.222,44.78,83,30,8.72
6,Salalah,OM,2022-06-07 22:44:07,17.0151,54.0924,84.29,79,40,6.91
7,Okakarara,NA,2022-06-07 22:44:07,-20.5833,17.4333,45.18,58,0,6.33
8,Jitra,MY,2022-06-07 22:44:08,6.2681,100.4217,76.91,100,20,3.44
9,Coquimbo,CL,2022-06-07 22:44:08,-29.9533,-71.3436,56.93,88,75,10.36
10,Bluff,NZ,2022-06-07 22:44:08,-46.6,168.3333,52.81,76,43,10.47
11,Port-Gentil,GA,2022-06-07 22:44:09,-0.7193,8.7815,76.96,94,20,8.05
12,Kolochava,UA,2022-06-07 22:44:09,48.4285,23.6959,57.76,90,62,3.44
13,Busselton,AU,2022-06-07 22:44:09,-33.65,115.3333,56.62,54,100,19.15
14,Albany,US,2022-06-07 22:41:06,42.6001,-73.9662,66.88,88,100,3.0
15,Nzerekore,GN,2022-06-07 22:44:10,7.7562,-8.8179,68.86,97,73,0.69
16,Barrow,US,2022-06-07 22:44:10,71.2906,-156.7887,28.42,80,100,17.27
17,Punta Arenas,CL,2022-06-07 22:44:10,-53.15,-70.9167,42.91,65,75,11.5
18,Vardo,NO,2022-06-07 22:44:11,70.3705,31.1107,42.78,87,100,9.22
19,Lewisville,US,2022-06-07 22:44:11,33.0462,-96.9942,96.73,53,20,16.11
20,Butaritari,KI,2022-06-07 22:44:12,3.0707,172.7902,80.62,80,38,12.57
21,Jamestown,US,2022-06-07 22:41:43,42.097,-79.2353,65.84,73,100,8.05
22,Kaeo,NZ,2022-06-07 22:44:13,-35.1,173.7833,57.33,97,97,4.41
23,Kodiak,US,2022-06-07 22:44:14,57.79,-152.4072,53.11,71,100,4.61
24,Whitehorse,CA,2022-06-07 22:42:45,60.7161,-135.0538,63.81,34,75,18.41
25,Hilo,US,2022-06-07 22:43:23,19.7297,-155.09,90.28,68,0,11.5
26,Terracina,IT,2022-06-07 22:44:14,41.2863,13.2217,69.58,99,3,1.99
27,Dikson,RU,2022-06-07 22:44:15,73.5069,80.5464,25.2,93,10,4.94
28,Port Alfred,ZA,2022-06-07 22:44:15,-33.5906,26.891,63.73,58,13,11.34
29,Hammerfest,NO,2022-06-07 22:44:16,70.6634,23.6821,43.25,70,75,10.36
30,Vestmannaeyjar,IS,2022-06-07 22:44:16,63.4427,-20.2734,50.05,86,100,20.76
31,Paamiut,GL,2022-06-07 22:44:16,61.994,-49.6678,36.03,89,40,4.94
32,Laguna,US,2022-06-07 22:41:01,38.421,-121.4238,95.29,27,0,10.36
33,Kulhudhuffushi,MV,2022-06-07 22:40:01,6.6221,73.07,82.17,74,98,12.75
34,Kudahuvadhoo,MV,2022-06-07 22:40:10,2.6708,72.8944,81.41,72,100,6.93
35,Miyazu,JP,2022-06-07 22:44:17,35.5333,135.1833,63.54,72,9,3.27
36,Xinzhi,CN,2022-06-07 22:44:17,36.4989,111.7047,78.62,32,41,1.88
37,Bambous Virieux,MU,2022-06-07 22:44:17,-20.3428,57.7575,71.22,88,40,6.91
38,Cherskiy,RU,2022-06-07 22:44:18,68.75,161.3,48.52,55,98,6.38
39,Ushuaia,AR,2022-06-07 22:44:18,-54.8,-68.3,44.26,57,20,12.66
40,Bathsheba,BB,2022-06-07 22:44:19,13.2167,-59.5167,83.01,78,20,24.16
41,East London,ZA,2022-06-07 22:41:43,-33.0153,27.9116,62.51,59,12,7.36
42,Albion,US,2022-06-07 22:44:19,42.2431,-84.753,72.32,48,0,8.05
43,Bredasdorp,ZA,2022-06-07 22:44:19,-34.5322,20.0403,61.39,37,0,4.52
44,Vaini,TO,2022-06-07 22:44:20,-21.2,-175.2,73.56,83,75,4.61
45,Chokurdakh,RU,2022-06-07 22:44:20,70.6333,147.9167,44.15,50,8,12.93
46,Dali,CN,2022-06-07 22:44:35,25.7,100.1833,62.67,92,100,2.82
47,Nemuro,JP,2022-06-07 22:44:21,43.3236,145.575,45.93,81,100,7.78
48,Kavieng,PG,2022-06-07 22:44:36,-2.5744,150.7967,82.85,73,91,8.61
49,Khatanga,RU,2022-06-07 22:44:36,71.9667,102.5,51.15,56,99,10.11
50,Grindavik,IS,2022-06-07 22:44:36,63.8424,-22.4338,53.55,76,75,8.05
51,Hermanus,ZA,2022-06-07 22:44:37,-34.4187,19.2345,65.73,46,0,8.84
52,Nikolskoye,RU,2022-06-07 22:44:37,59.7035,30.7861,53.87,66,45,4.34
53,Qaanaaq,GL,2022-06-07 22:44:37,77.484,-69.3632,30.34,91,76,4.0
54,Strezhevoy,RU,2022-06-07 22:44:38,60.7333,77.5889,42.3,59,8,3.65
55,San Cristobal,VE,2022-06-07 22:44:38,7.7669,-72.225,75.38,84,37,3.11
56,Bengkulu,ID,2022-06-07 22:40:59,-3.8004,102.2655,74.41,90,69,3.56
57,Atuona,PF,2022-06-07 22:44:38,-9.8,-139.0333,77.99,72,5,13.38
58,Mataura,NZ,2022-06-07 22:44:38,-46.1927,168.8643,52.48,77,37,2.66
59,Castro,BR,2022-06-07 22:39:54,-24.7911,-50.0119,58.12,98,94,0.56
60,Progreso,MX,2022-06-07 22:44:39,21.2833,-89.6667,96.91,80,99,17.52
61,Tupik,RU,2022-06-07 22:44:39,54.4253,119.9327,65.86,52,37,0.94
62,Naze,JP,2022-06-07 22:44:39,28.3667,129.4833,70.72,76,100,1.34
63,Wawa,NG,2022-06-07 22:43:10,9.9022,4.4192,79.34,62,44,4.47
64,Miramar,US,2022-06-07 22:43:54,25.9873,-80.2323,78.82,88,100,10.36
65,Easton,US,2022-06-07 22:40:46,40.6884,-75.2207,74.25,78,100,4.61
66,Talnakh,RU,2022-06-07 22:44:40,69.4865,88.3972,33.21,99,100,3.96
67,Dingle,PH,2022-06-07 22:44:40,10.9995,122.6711,79.54,83,59,2.21
68,Hobart,AU,2022-06-07 22:40:22,-42.8794,147.3294,42.26,82,40,4.61
69,Skjervoy,NO,2022-06-07 22:44:40,70.0311,20.9714,46.4,79,100,15.88
70,Caravelas,BR,2022-06-07 22:44:41,-17.7125,-39.2481,69.76,88,2,6.08
71,Mahebourg,MU,2022-06-07 22:44:41,-20.4081,57.7,71.26,88,40,6.91
72,Shache,CN,2022-06-07 22:44:41,38.4167,77.2406,74.84,25,97,5.77
73,Beloha,MG,2022-06-07 22:44:42,-25.1667,45.05,65.62,75,79,11.48
74,Hithadhoo,MV,2022-06-07 22:44:42,-0.6,73.0833,82.63,69,93,6.42
75,Husavik,IS,2022-06-07 22:44:22,66.0449,-17.3389,45.75,87,97,1.92
76,Tigil,RU,2022-06-07 22:44:42,57.8,158.6667,56.34,68,85,4.5
77,Ilulissat,GL,2022-06-07 22:44:43,69.2167,-51.1,37.78,62,10,4.03
78,Norman Wells,CA,2022-06-07 22:42:21,65.282,-126.8329,55.44,54,75,6.91
79,Longyearbyen,SJ,2022-06-07 22:40:05,78.2186,15.6401,42.64,65,75,17.27
80,Mayo,US,2022-06-07 22:44:43,38.8876,-76.5119,74.17,89,100,11.5
81,Pontian Kecil,MY,2022-06-07 22:44:43,1.4801,103.3899,77.32,85,87,4.47
82,Bohl-Iggelheim,DE,2022-06-07 22:44:43,49.3806,8.3039,61.14,79,13,4.9
83,Yellowknife,CA,2022-06-07 22:41:58,62.456,-114.3525,73.92,27,75,6.91
84,Geraldton,AU,2022-06-07 22:44:44,-28.7667,114.6,66.61,37,75,31.07
85,Port Elizabeth,ZA,2022-06-07 22:44:44,-33.918,25.5701,59.31,68,0,2.3
86,Torbay,CA,2022-06-07 22:44:45,47.6666,-52.7314,46.27,78,20,24.16
87,San Patricio,US,2022-06-07 22:44:45,28.017,-97.5169,93.92,50,4,19.46
88,Mersing,MY,2022-06-07 22:44:45,2.4312,103.8405,73.31,94,20,5.75
89,Puerto Ayora,EC,2022-06-07 22:45:01,-0.7393,-90.3518,76.96,95,78,4.0
90,Boysun,UZ,2022-06-07 22:45:01,38.2061,67.1986,70.3,22,0,5.44
91,Amuntai,ID,2022-06-07 22:45:01,-2.4177,115.2494,73.62,95,99,1.92
92,Nanortalik,GL,2022-06-07 22:45:02,60.1432,-45.2371,41.02,83,98,3.6
93,Codrington,AU,2022-06-07 22:45:02,-38.2667,141.9667,51.3,70,100,14.7
94,Severnyy,RU,2022-06-07 22:45:03,50.677,36.5532,60.84,63,0,0.0
95,Tasiilaq,GL,2022-06-07 22:45:03,65.6145,-37.6368,41.16,65,98,2.01
96,Kapoeta,SS,2022-06-07 22:45:04,4.7717,33.5903,75.97,64,99,5.75
97,Cidreira,BR,2022-06-07 22:45:04,-30.1811,-50.2056,63.3,82,96,8.55
98,Sangar,RU,2022-06-07 22:45:05,63.9242,127.4739,64.49,59,33,4.74
99,Hambantota,LK,2022-06-07 22:45:05,6.1241,81.1185,78.57,83,100,15.41
100,Arraial Do Cabo,BR,2022-06-07 22:45:05,-22.9661,-42.0278,71.46,83,0,3.44
101,Skibbereen,IE,2022-06-07 22:45:06,51.55,-9.2667,57.11,91,95,22.48
102,Ostrovnoy,RU,2022-06-07 22:45:06,68.0531,39.5131,46.9,87,91,4.72
103,Omboue,GA,2022-06-07 22:45:07,-1.5746,9.2618,74.32,93,100,4.79
104,Narsaq,GL,2022-06-07 22:45:07,60.9167,-46.05,55.62,66,25,5.23
105,Manthani,IN,2022-06-07 22:45:07,18.65,79.6667,90.93,41,85,20.51
106,Fortuna,US,2022-06-07 22:41:19,40.5982,-124.1573,68.94,66,0,11.5
107,Zumpahuacan,MX,2022-06-07 22:45:12,18.9,-99.55,78.91,41,36,6.4
108,Sisimiut,GL,2022-06-07 22:44:42,66.9395,-53.6735,41.95,53,22,8.55
109,Half Moon Bay,US,2022-06-07 22:45:13,37.4636,-122.4286,83.53,61,75,25.32
110,Santa Isabel Do Rio Negro,BR,2022-06-07 22:45:14,-0.4139,-65.0192,75.56,94,96,3.06
111,Port Hedland,AU,2022-06-07 22:45:14,-20.3167,118.5667,59.05,72,1,6.91
112,Olds,CA,2022-06-07 22:45:11,51.7834,-114.102,62.74,45,90,3.44
113,Angoche,MZ,2022-06-07 22:45:16,-16.2325,39.9086,67.64,88,2,11.7
114,Muli,MV,2022-06-07 22:45:17,2.9167,73.5667,81.01,74,98,9.6
115,Port Lincoln,AU,2022-06-07 22:45:12,-34.7333,135.8667,55.31,68,100,5.44
116,Turukhansk,RU,2022-06-07 22:45:17,65.8167,87.9833,42.31,88,65,7.45
117,Severo-Kurilsk,RU,2022-06-07 22:45:18,50.6789,156.125,45.48,83,94,10.49
118,Thompson,CA,2022-06-07 22:45:18,55.7435,-97.8558,68.16,37,75,6.91
119,Oranjemund,NA,2022-06-07 22:45:19,-28.55,16.4333,64.81,38,0,5.1
120,Gambela,ET,2022-06-07 22:45:19,8.25,34.5833,72.52,76,91,1.14
121,Ancud,CL,2022-06-07 22:45:19,-41.8697,-73.8203,51.22,89,77,13.24
122,Bar Harbor,US,2022-06-07 22:45:20,44.3876,-68.2039,65.93,74,0,8.05
123,Sharjah,AE,2022-06-07 22:45:20,25.3573,55.4033,93.18,42,0,4.61
124,Carnarvon,AU,2022-06-07 22:45:20,-24.8667,113.6333,70.74,70,100,19.82
125,Dunedin,NZ,2022-06-07 22:45:21,-45.8742,170.5036,55.8,48,100,1.99
126,Yining,CN,2022-06-07 22:45:21,29.0361,114.5636,74.59,82,80,1.25
127,Namibe,AO,2022-06-07 22:45:21,-15.1961,12.1522,72.86,52,4,5.7
128,Ahuimanu,US,2022-06-07 22:45:21,21.4447,-157.8378,87.51,59,75,18.41
129,Saint-Philippe,RE,2022-06-07 22:45:22,-21.3585,55.7679,69.39,84,55,9.75
130,Avarua,CK,2022-06-07 22:45:22,-21.2078,-159.775,80.65,69,75,9.22
131,Akureyri,IS,2022-06-07 22:45:22,65.6835,-18.0878,49.93,81,20,8.05
132,Saint Anthony,US,2022-06-07 22:42:51,45.0205,-93.218,68.97,49,100,9.22
133,Kampot,KH,2022-06-07 22:45:22,10.6167,104.1833,80.65,85,100,4.92
134,New Norfolk,AU,2022-06-07 22:45:23,-42.7826,147.0587,41.92,83,87,3.8
135,Moose Factory,CA,2022-06-07 22:45:23,51.2585,-80.6094,59.0,82,100,10.36
136,Gat,IL,2022-06-07 22:41:00,31.61,34.7642,77.4,78,0,2.17
137,San Quintin,MX,2022-06-07 22:45:39,30.4833,-115.95,68.23,69,1,13.02
138,Clyde River,CA,2022-06-07 22:45:39,70.4692,-68.5914,43.03,75,75,4.61
139,Samtredia,GE,2022-06-07 22:45:39,42.1537,42.3352,68.27,94,40,2.3
140,Mitu,CO,2022-06-07 22:45:39,1.1983,-70.1733,74.19,97,94,0.36
141,Tianpeng,CN,2022-06-07 22:45:40,30.9866,103.9393,73.87,69,100,0.87
142,Stokmarknes,NO,2022-06-07 22:45:40,68.5646,14.9108,40.98,81,75,13.8
143,Bairiki,KI,2022-06-07 22:45:40,1.3292,172.9752,86.0,70,75,10.36
144,Kahului,US,2022-06-07 22:45:41,20.8947,-156.47,89.62,56,20,18.41
145,Cairns,AU,2022-06-07 22:42:10,-16.9167,145.7667,77.07,88,100,5.75
146,Kapaa,US,2022-06-07 22:45:42,22.0752,-159.319,82.47,74,40,11.5
147,Ramhormoz,IR,2022-06-07 22:45:42,31.28,49.6035,91.36,25,0,5.57
148,Berga,NO,2022-06-07 22:43:04,60.392,5.328,63.09,88,75,16.11
149,Chulumani,BO,2022-06-07 22:45:43,-16.4096,-67.5263,61.84,96,72,2.13
150,Koutsouras,GR,2022-06-07 22:45:43,35.0339,25.9469,77.11,41,0,10.71
151,Tiznit,MA,2022-06-07 22:45:43,29.5833,-9.5,75.76,36,0,1.48
152,Pahrump,US,2022-06-07 22:42:04,36.2083,-115.9839,101.84,11,10,4.0
153,Luocheng,CN,2022-06-07 22:45:44,29.3848,104.0286,70.84,77,99,1.19
154,Georgetown,MY,2022-06-07 22:45:16,5.4112,100.3354,78.73,99,20,5.01
155,Manbij,SY,2022-06-07 22:45:44,36.5281,37.9549,69.82,73,0,11.05
156,Azogues,EC,2022-06-07 22:45:44,-2.7333,-78.8333,58.95,92,92,4.05
157,Marinette,US,2022-06-07 22:45:45,45.1,-87.6307,70.25,56,100,6.91
158,Tuatapere,NZ,2022-06-07 22:45:45,-46.1333,167.6833,50.79,79,42,0.96
159,Roald,NO,2022-06-07 22:45:45,62.5833,6.1333,55.17,81,68,21.85
160,Port Moresby,PG,2022-06-07 22:45:45,-9.4431,147.1797,80.02,83,40,2.3
161,Faanui,PF,2022-06-07 22:45:46,-16.4833,-151.75,79.18,77,22,13.38
162,Saskylakh,RU,2022-06-07 22:45:46,71.9167,114.0833,47.5,65,31,11.16
163,Itoman,JP,2022-06-07 22:45:46,26.1247,127.6694,75.97,96,75,3.44
164,Digapahandi,IN,2022-06-07 22:45:47,19.3667,84.5833,83.59,73,51,3.98
165,Whyalla,AU,2022-06-07 22:45:47,-33.0333,137.5833,55.18,59,100,9.51
166,Elizabeth City,US,2022-06-07 22:45:45,36.2946,-76.2511,82.42,66,0,13.8
167,Sao Gabriel Da Cachoeira,BR,2022-06-07 22:45:47,-0.1303,-67.0892,75.0,94,40,2.3
168,Nizhnyaya Tura,RU,2022-06-07 22:45:48,58.6293,59.8118,53.13,98,100,14.16
169,Katsuura,JP,2022-06-07 22:45:48,35.1333,140.3,62.96,88,100,15.39
170,Key Biscayne,US,2022-06-07 22:45:48,25.6937,-80.1628,77.02,94,100,0.0
171,Noumea,NC,2022-06-07 22:44:00,-22.2763,166.4572,78.78,99,96,1.54
172,Kaitangata,NZ,2022-06-07 22:45:49,-46.2817,169.8464,49.08,73,100,5.84
173,Tsuyama,JP,2022-06-07 22:45:49,35.05,134.0,61.63,68,5,1.66
174,Tual,ID,2022-06-07 22:45:49,-5.6667,132.75,82.63,71,45,4.83
175,Roma,US,2022-06-07 22:41:47,43.2128,-75.4557,68.63,88,100,8.05
176,Cabedelo,BR,2022-06-07 22:42:36,-6.9811,-34.8339,75.87,76,38,8.88
177,Hamina,FI,2022-06-07 22:45:50,60.5697,27.1979,51.08,67,50,5.95
178,Rio Gallegos,AR,2022-06-07 22:41:39,-51.6226,-69.2181,42.85,61,0,12.66
179,Burns Lake,CA,2022-06-07 22:45:50,54.2331,-125.7533,67.42,30,38,6.76
180,Ribeira Grande,PT,2022-06-07 22:45:51,38.5167,-28.7,65.68,94,99,11.3
181,Ostersund,SE,2022-06-07 22:46:06,63.1792,14.6357,57.61,71,20,10.36
182,Charlestown,AU,2022-06-07 22:46:06,-32.95,151.6667,52.11,68,7,5.99
183,Bethel,US,2022-06-07 22:46:07,41.3712,-73.414,70.47,77,100,1.99
184,Marawi,PH,2022-06-07 22:46:07,7.9986,124.2928,71.4,90,99,1.66
185,Jalingo,NG,2022-06-07 22:46:07,8.8833,11.3667,78.24,74,25,5.39
186,Peniche,PT,2022-06-07 22:46:07,39.3558,-9.3811,65.28,92,98,7.92
187,Ngunguru,NZ,2022-06-07 22:46:08,-35.6167,174.5,62.4,70,74,7.02
188,Malacacheta,BR,2022-06-07 22:46:08,-17.8422,-42.0767,61.65,55,69,2.68
189,Fulton,US,2022-06-07 22:46:09,33.7668,-84.4499,83.84,69,0,5.75
190,Saldanha,ZA,2022-06-07 22:46:09,-33.0117,17.9442,57.25,49,2,8.66
191,Meget,RU,2022-06-07 22:46:09,52.415,104.0494,36.36,76,46,2.39
192,Ulundi,ZA,2022-06-07 22:46:10,-28.3352,31.4162,55.11,65,1,4.03
193,Hamilton,US,2022-06-07 22:46:10,39.1834,-84.5333,80.24,74,40,12.66
194,Batuan,PH,2022-06-07 22:46:11,9.7808,124.1484,78.04,78,44,0.96
